,date,factors
0,2016-02-02 23:45:00+00:00,0.0
1,2016-02-03 00:00:00+00:00,0.86
2,2016-02-03 01:00:00+00:00,0.85
3,2016-02-03 02:00:00+00:00,0.83
4,2016-02-03 03:00:00+00:00,0.81
5,2016-02-03 04:00:00+00:00,0.80
6,2016-02-03 05:00:00+00:00,0.80
7,2016-02-03 06:00:00+00:00,0.82
8,2016-02-03 07:00:00+00:00,0.85
9,2016-02-03 08:00:00+00:00,0.90
10,2016-02-03 09:00:00+00:00,0.93
11,2016-02-03 10:00:00+00:00,1
12,2016-02-03 11:00:00+00:00,1
13,2016-02-03 12:00:00+00:00,0.94
14,2016-02-03 13:00:00+00:00,0.94
15,2016-02-03 14:00:00+00:00,0.94
16,2016-02-03 15:00:00+00:00,0.91
17,2016-02-03 16:00:00+00:00,0.92
18,2016-02-03 17:00:00+00:00,0.93
19,2016-02-03 18:00:00+00:00,1
20,2016-02-03 19:00:00+00:00,1
21,2016-02-03 20:00:00+00:00,1
22,2016-02-03 21:00:00+00:00,1
23,2016-02-03 22:00:00+00:00,0.94
24,2016-02-03 23:00:00+00:00,0.91
